DogID,Energy_A,Energy_G,Peak_A,Peak_G,Cross_Mean_A,Cross_Mean_G,ANorm,GNorm,FilteredANorm,FilteredGNorm,Behavior,F1_Score
16.0,6.812698861227617e-06,0.30063750819252194,-0.20500000000000002,0.2,80.0,78.0,0.9906399944631754,102.0732247436727,0.014982234670019903,0.5720400268331377,3,0.8053970105411595
16.0,1.272521845395333e-05,0.3295731532023989,-0.185,-0.21,82.0,82.0,0.9199469620244419,110.37251603673865,0.004563381509335065,-1.0818918134902256,3,0.8053970105411595
16.0,1.2195641257983804e-05,0.16885835424708745,0.21,0.20500000000000002,78.0,84.0,0.8875782356355973,115.66726054634098,-0.01266014843883916,-1.3247292918109617,3,0.8053970105411595
16.0,2.660640926656228e-05,0.601216370470196,0.195,0.2,78.0,82.0,0.9207470698003877,116.56958467500588,-0.0136267742434543,0.1331614778027207,3,0.8053970105411595
16.0,1.968330805411932e-05,0.3530580752048929,0.195,-0.19,80.0,78.0,1.0329787541348563,117.95710803002628,0.0037017113574340757,1.4072237099884124,3,0.8053970105411595
16.0,1.3976824492917038e-05,0.19394347734237205,-0.195,0.185,80.0,82.0,1.1485310691944732,111.69080379286166,0.016185340479376885,0.8505039693776525,3,0.8053970105411595
16.0,2.0746079246471904e-05,0.6476340735767999,0.195,0.2,78.0,82.0,1.0186071167457058,97.18226520146563,0.006984336630504777,-0.8090564087169875,3,0.8053970105411595
16.0,9.434328623145968e-06,0.39080835308122674,-0.195,0.19,78.0,78.0,0.8661844655828227,89.04083585024664,-0.011038314499163352,-1.3926278078670355,3,0.8053970105411595
16.0,1.5072837896240181e-05,0.5328349254923126,0.2,-0.19,78.0,78.0,0.8580061410566943,90.03230298345602,-0.013667485368769902,-0.13776665185465273,3,0.8053970105411595
16.0,6.122550030983388e-06,1.282854004191353,-0.195,-0.19,78.0,78.0,0.9674482660597413,93.321770642156,0.001344809547173191,1.2740895563373404,3,0.8053970105411595
16.0,8.220686088991635e-06,0.6303471728247783,0.19,0.19,78.0,78.0,1.0917368225153898,94.09217661391632,0.013130815318324898,0.9639086726869922,3,0.8053970105411595
16.0,1.0317511551878734e-05,0.20972310024312607,0.195,0.2,78.0,80.0,1.1109343823840363,92.82424390838369,0.007358858321965566,-0.617387872077702,3,0.8053970105411595
16.0,1.6727837743323054e-05,0.6665229244054433,0.20500000000000002,0.19,78.0,76.0,1.0588241192502181,88.48900841970179,-0.006499450823939945,-1.318143399429092,3,0.8053970105411595
16.0,1.10736195270486e-05,0.246913802926091,0.19,0.195,76.0,80.0,0.9913282183000744,91.358409357684,-0.010657670482120761,-0.22884878306389622,3,0.8053970105411595
16.0,8.603369952382297e-06,0.275065675735589,0.19,-0.195,76.0,80.0,0.9521962290757089,102.1412304654793,-0.0018519678212741237,1.1052742367964015,3,0.8053970105411595
16.0,8.7973429026424e-06,0.21484855851077464,0.20500000000000002,0.2,78.0,80.0,1.0337232690797862,112.20852180493429,0.007675480620935928,0.8733560279539548,3,0.8053970105411595
16.0,1.5506050965488452e-05,0.06183439334096855,0.185,0.2,78.0,80.0,1.1353910448876194,117.0902893864027,0.007173411457070885,-0.5045716529455108,3,0.8053970105411595
16.0,3.354602876087981e-06,0.1722680429449212,0.20500000000000002,-0.19,82.0,82.0,1.2000477148080404,120.95589863729735,-0.001158080255875857,-1.079012764097167,3,0.8053970105411595
16.0,1.4028159483055858e-05,0.9494520523651839,0.20500000000000002,0.20500000000000002,80.0,80.0,1.1915162110949227,122.60421267412141,-0.007123009325824952,-0.1578104288281203,3,0.8053970105411595
16.0,1.9888982819200904e-05,0.3517154934861603,0.195,0.195,78.0,76.0,1.1111740443931364,115.70155635411999,-0.004596456839412679,0.8573501791457052,3,0.8053970105411595
16.0,6.558585332430693e-06,0.08485075198635288,0.19,0.195,76.0,76.0,1.0592397583148965,101.80671836641113,0.002802012905467787,0.6072562235891652,3,0.8053970105411595
16.0,1.0461134019604895e-05,0.1119661466467165,0.195,0.2,78.0,80.0,1.0711705585806586,87.68021051052173,0.006540270099361679,-0.38610741582870894,3,0.8053970105411595
16.0,2.575128434017666e-05,0.18902291813318234,0.2,0.2,78.0,80.0,1.1070725725073312,78.19731068292236,0.002583154829535184,-0.6986109677948924,3,0.8053970105411595
